MANDT,PLANT,MATNR,SUB,COMP,FEAT,DESCR,
175,3101,000000000000329695,THERMAL VALVE ASSY,O Seal,,Damaged,
175,3101,000000000000329695,THERMAL VALVE ASSY,O Seal,,Leaking,
175,3101,000000000000329695,THERMAL VALVE ASSY,O Seal,,Worn,
175,3101,000000000000329695,THERMAL VALVE ASSY,Valve Sub Assembly,,Fails to Actuate,
175,3101,000000000000329695,THERMAL VALVE ASSY,Valve Sub Assembly,Sealing Face,Damaged,
175,3101,329695-5,CASE ASSY,Case Detail,sealing face,damaged,
175,3101,329695-5,CASE ASSY,Insert rosan,,damaged,
175,3101,329695-5,CASE ASSY,Insert rosan,,worn,
175,3101,329695-5,CASE ASSY,O Seal,,damaged,
175,3101,329695-5,CASE ASSY,O Seal,,leaking,
175,3101,329695-5,CASE ASSY,O Seal,,worn,
175,3101,329695-5,CASE ASSY,Pin anti rotation,,damaged,
175,3101,329695-5,CASE ASSY,Pin anti rotation,,worn,
175,3101,329695-5,CASE ASSY,Retainer Oil Valve Sub Assy,,damaged,
175,3101,329695-5,CASE ASSY,Tube servo oil transfer,,damaged,
175,3101,329695-5,CASE ASSY,Tube servo oil transfer,bore,blocked,
175,3101,329695-5,CASE ASSY2,Insert rosan2,,damaged2,
175,3101,329695-5,CASE ASSY2,Insert rosan2,,worn2,
175,3101,329695-5,CASE ASSY2,Pin anti rotation2,,damaged2,
175,3101,329695-5,CASE ASSY2,Pin anti rotation2,,worn2,
175,3101,329695-5,CASE ASSY2,Pin anti rotation2,feat1,worn2,
175,3101,329695-5,CASE ASSY2,Tube servo oil transfer2,,damaged2,
175,3101,329695-5,CASE ASSY2,Tube servo oil transfer2,bore2,blocked2,
175,3101,329695-5,END COVER ASSY,By pass valve,,leaking,
175,3101,329695-5,END COVER ASSY,By pass valve,poppet,jammed,
175,3101,329695-5,END COVER ASSY,By pass valve,poppet sealing face,damaged,
175,3101,329695-5,END COVER ASSY,By pass valve,poppet sealing face,worn,
175,3101,329695-5,END COVER ASSY,Dowty Seal,,leaking,
175,3101,329695-5,END COVER ASSY,Filter Housing,drain plug,leaking,
175,3101,329695-5,END COVER ASSY,Filter Housing,mating face,leaking,
175,3101,329695-5,END COVER ASSY,Stud,,damaged,
175,3101,329695-5,END COVER ASSY,Stud,thread,damaged,
175,3101,329695-5,END COVER ASSY,Stud,thread,worn,
175,3101,329695-5,EXTERNALLY CAUSED,External Contamination (Induced),,F.O.D.,
175,3101,329695-5,EXTERNALLY CAUSED,External Contamination (Induced),,Oil,
175,3101,329695-5,EXTERNALLY CAUSED,External Contamination (Induced),,Other,
175,3101,329695-5,EXTERNALLY CAUSED,External Contamination (Induced),,Particulate,
175,3101,329695-5,EXTERNALLY CAUSED,External Contamination (Induced),,Water,
175,3101,329695-5,EXTERNALLY CAUSED,Maintenance and Handling,,Installation problem,
175,3101,329695-5,EXTERNALLY CAUSED,Maintenance and Handling (Induced),,External damage,
175,3101,329695-5,EXTERNALLY CAUSED,Maintenance and Handling (Induced),,Missing parts,
175,3101,329695-5,EXTERNALLY CAUSED,Maintenance and Handling (Induced),,See Analysis Discussion,
175,3101,329695-5,MATRIX (CORE) ASSY,O Seal,,damaged,
175,3101,329695-5,MATRIX (CORE) ASSY,O Seal,,worn,
175,3101,329695-5,MATRIX (CORE) ASSY,Tube,,fretting,
175,3101,329695-5,MATRIX (CORE) ASSY,Tube,Fuel Circuit,corroded,
175,3101,329695-5,MATRIX (CORE) ASSY,Tube,Fuel Circuit,eroded,
175,3101,329695-5,MATRIX (CORE) ASSY,Tube,Oil Circuit,corroded,
175,3101,329695-5,MATRIX (CORE) ASSY,Tube,Oil Circuit,damaged,
175,3101,329695-5,MATRIX (CORE) ASSY,Tubeplate,sealing face,damaged,
175,3101,329695-5,MATRIX (CORE) ASSY,Tubeplate,sealing face,worn,
175,3101,329695-5,NO FAILURES HAD OCCURRED,Modify,,.,
175,3101,329695-5,NO FAILURES HAD OCCURRED,Overhaul,,.,
175,3101,329695-5,NO FAILURES HAD OCCURRED,Recertification,,.,
175,3101,329695-5,NO FAILURES HAD OCCURRED,See Analysis Discussion,,.,
175,3101,329695-5,NO FAILURES HAD OCCURRED,Test OK,,.,
175,3101,329695-5,THERMAL VALVE ASSY,O Seal,,Damaged,
175,3101,329695-5,THERMAL VALVE ASSY,O Seal,,Leaking,
175,3101,329695-5,THERMAL VALVE ASSY,O Seal,,Worn,
175,3101,329695-5,THERMAL VALVE ASSY,Valve Sub Assembly,,Fails to Actuate,
175,3101,329695-5,THERMAL VALVE ASSY,Valve Sub Assembly,Sealing Face,Damaged,
175,3101,CUST_MAT_NO,CASE ASSY,Case Detail,sealing face,damaged,
175,3101,CUST_MAT_NO,CASE ASSY,Insert rosan,,damaged,
175,3101,CUST_MAT_NO,CASE ASSY,Insert rosan,,worn,
175,3101,CUST_MAT_NO,CASE ASSY,O Seal,,damaged,
175,3101,CUST_MAT_NO,CASE ASSY,O Seal,,leaking,
175,3101,CUST_MAT_NO,CASE ASSY,O Seal,,worn,
175,3101,CUST_MAT_NO,CASE ASSY,Pin anti rotation,,damaged,
175,3101,CUST_MAT_NO,CASE ASSY,Pin anti rotation,,worn,
175,3101,CUST_MAT_NO,CASE ASSY,Retainer Oil Valve Sub Assy,,damaged,
175,3101,CUST_MAT_NO,CASE ASSY,Tube servo oil transfer,,damaged,
175,3101,CUST_MAT_NO,CASE ASSY,Tube servo oil transfer,bore,blocked,
175,3101,CUST_MAT_NO,CASE ASSY2,Insert rosan2,,damaged2,
175,3101,CUST_MAT_NO,CASE ASSY2,Insert rosan2,,worn2,
175,3101,CUST_MAT_NO,CASE ASSY2,Pin anti rotation2,,damaged2,
175,3101,CUST_MAT_NO,CASE ASSY2,Pin anti rotation2,,worn2,
175,3101,CUST_MAT_NO,CASE ASSY2,Pin anti rotation2,feat1,worn2,
175,3101,CUST_MAT_NO,CASE ASSY2,Tube servo oil transfer2,,damaged2,
175,3101,CUST_MAT_NO,CASE ASSY2,Tube servo oil transfer2,bore2,blocked2,
175,3101,CUST_MAT_NO,END COVER ASSY,By pass valve,,leaking,
175,3101,CUST_MAT_NO,END COVER ASSY,By pass valve,poppet,jammed,
175,3101,CUST_MAT_NO,END COVER ASSY,By pass valve,poppet sealing face,damaged,
175,3101,CUST_MAT_NO,END COVER ASSY,By pass valve,poppet sealing face,worn,
175,3101,CUST_MAT_NO,END COVER ASSY,Dowty Seal,,leaking,
175,3101,CUST_MAT_NO,END COVER ASSY,Filter Housing,drain plug,leaking,
175,3101,CUST_MAT_NO,END COVER ASSY,Filter Housing,mating face,leaking,
175,3101,CUST_MAT_NO,END COVER ASSY,Stud,,damaged,
175,3101,CUST_MAT_NO,END COVER ASSY,Stud,thread,damaged,
175,3101,CUST_MAT_NO,END COVER ASSY,Stud,thread,worn,
175,3101,CUST_MAT_NO,EXTERNALLY CAUSED,External Contamination (Induced),,F.O.D.,
175,3101,CUST_MAT_NO,EXTERNALLY CAUSED,External Contamination (Induced),,Oil,
175,3101,CUST_MAT_NO,EXTERNALLY CAUSED,External Contamination (Induced),,Other,
175,3101,CUST_MAT_NO,EXTERNALLY CAUSED,External Contamination (Induced),,Particulate,
175,3101,CUST_MAT_NO,EXTERNALLY CAUSED,External Contamination (Induced),,Water,
175,3101,CUST_MAT_NO,EXTERNALLY CAUSED,Maintenance and Handling,,Installation problem,
175,3101,CUST_MAT_NO,EXTERNALLY CAUSED,Maintenance and Handling (Induced),,External damage,
175,3101,CUST_MAT_NO,EXTERNALLY CAUSED,Maintenance and Handling (Induced),,Missing parts,
175,3101,CUST_MAT_NO,EXTERNALLY CAUSED,Maintenance and Handling (Induced),,See Analysis Discussion,
175,3101,CUST_MAT_NO,MATRIX (CORE) ASSY,O Seal,,damaged,
175,3101,CUST_MAT_NO,MATRIX (CORE) ASSY,O Seal,,worn,
175,3101,CUST_MAT_NO,MATRIX (CORE) ASSY,Tube,,fretting,
175,3101,CUST_MAT_NO,MATRIX (CORE) ASSY,Tube,Fuel Circuit,corroded,
175,3101,CUST_MAT_NO,MATRIX (CORE) ASSY,Tube,Fuel Circuit,eroded,
175,3101,CUST_MAT_NO,MATRIX (CORE) ASSY,Tube,Oil Circuit,corroded,
175,3101,CUST_MAT_NO,MATRIX (CORE) ASSY,Tube,Oil Circuit,damaged,
175,3101,CUST_MAT_NO,MATRIX (CORE) ASSY,Tubeplate,sealing face,damaged,
175,3101,CUST_MAT_NO,MATRIX (CORE) ASSY,Tubeplate,sealing face,worn,
175,3101,CUST_MAT_NO,NO FAILURES HAD OCCURRED,Modify,,.,
175,3101,CUST_MAT_NO,NO FAILURES HAD OCCURRED,Overhaul,,.,
175,3101,CUST_MAT_NO,NO FAILURES HAD OCCURRED,Recertification,,.,
175,3101,CUST_MAT_NO,NO FAILURES HAD OCCURRED,See Analysis Discussion,,.,
175,3101,CUST_MAT_NO,NO FAILURES HAD OCCURRED,Test OK,,.,
175,3101,CUST_MAT_NO,THERMAL VALVE ASSY,O Seal,,Damaged,
175,3101,CUST_MAT_NO,THERMAL VALVE ASSY,O Seal,,Leaking,
175,3101,CUST_MAT_NO,THERMAL VALVE ASSY,O Seal,,Worn,
175,3101,CUST_MAT_NO,THERMAL VALVE ASSY,Valve Sub Assembly,,Fails to Actuate,
175,3101,CUST_MAT_NO,THERMAL VALVE ASSY,Valve Sub Assembly,Sealing Face,Damaged,
