customer_segment,key,interco,company_name,icao,cage,,,,,
Airframe OEM,N,N,ESTERLINE CORPORATION,ZZZZZ,,,,,,
Aircraft Operators,Y,N,Ethiopian Airlines,ETH,,,,,,
Aircraft Operators,Y,N,Etihad Airways,ETD,,,,,,
Aircraft Operators,Y,N,EUROPEAN AIR TRANSPORT,BCS,,,,,,
Aircraft Operators,,N,EVELOP AIRLINES S.L,EVE,,,,,,
Proponent,N,N,Ex-Change Parts AB,ZZZZZ,,,,,,
Proponent,N,N,Execujet Middle East,EJO,,,,,,
Proponent,N,N,EXECUTIVE JET SUPPORT LTD,ZZZZZ,,,,,,
Aircraft Operators,N,N,ExpressJet  Airlines,ASQ,,,,,,
Aircraft Operators,Y,N,FedEx,FDX,,,,,,
Component MRO 3rd Party,N,N,First Class Air Support,ZZZZZ,,,,,,
Integrated Service Providers,Y,N,Fokker Service B.V.,ZZZZZ,,,,,,
Distributors Brokers,N,N,GA Telesis,ZZZZZ,,,,,,
Engine OEM,Y,N,GE,ZZZZZ,,,,,,
,,N,GE AIRCRAFT ENGINE SERVICES LT,ZZZZZ,,,,,,
,,N,"GE AVIATION MATERIALS, INC.",ZZZZZ,,,,,,
,,N,GE CALEDONIAN ENGINE SERVICES,ZZZZZ,,,,,,
Engine OEM,Y,N,GE CELMA,ZZZZZ,,,,,,
,,N,"GE ENGINE SERVICES, LLC",ZZZZZ,,,,,,
Integrated Service Providers,N,N,GECAS ASSET MANAGEMENT SERVICE,ZZZZZ,,,,,,
TBD,N,N,Gestal,ZZZZZ,,,,,,
Proponent,N,N,GLOBAL AIRTECH,ZZZZZ,,,,,,
Proponent,N,N,Global Aviation Technical,ZZZZZ,,,,,,
Airframe OEM,Y,N,GULFSTREAM,ZZZZZ,2AAX5,,,,,
Integrated Service Providers,Y,N,HAECO,ZZZZZ,,,,,,
Aircraft Operators,N,N,HAINAN AIRLINES,CHH,,,,,,
Airframe OEM,Y,N,Hamilton Sundstrand,ZZZZZ,6096,,,,,
Proponent,N,N,HAWK AVIATION LA LLC,ZZZZZ,,,,,,
Proponent,N,N,HAWK AVIATION LTD.,ZZZZZ,,,,,,
Proponent,N,N,HEICO Component Repair Group,ZZZZZ,,,,,,
Component MRO 3rd Party,N,N,HELLENIC AEROSPACE INDUSTRY S.A.,ZZZZZ,,,,,,
Proponent,N,N,HIFLY,ZZZZZ,,,,,,
Airframe OEM,N,N,HINDUSTAN AERONAUTICS LTD,ZZZZZ,,,,,,
Aircraft Operators,N,N,HONG KONG AIRLINES,CRK,,,,,,
Aircraft Operators,N,N,HOP!,HOP,,,,,,
TBD,N,N,HORIBA MIRA LTD,ZZZZZ,,,,,,
Proponent,N,N,Hydro Exploitation,ZZZZZ,,,,,,
,,N,"IAG Materials, LLC",ZZZZZ,,,,,,
Airframe OEM,N,N,IAI,ZZZZZ,,,,,,
Aircraft Operators,Y,N,Iberia,IBE,,,,,,
Aircraft Operators,N,N,Icelandair,ICE,,,,,,
Proponent,N,N,IKM INSTRUTEK AS,ZZZZZ,,,,,,
,,N,Interjet Centro de Mantenimien,ZZZZZ,,,,,,
Distributors Brokers,N,N,INTERTRADE LTD,ZZZZZ,,,,,,
Proponent,N,N,ISTEC INTERNATIONAL B.V.,ZZZZZ,,,,,,
Distributors Brokers,Y,N,JALUX INC.,ZZZZZ,,,,,,
Proponent,N,N,JAPAN AEROSPACE CORPORATION,ZZZZZ,,,,,,
Aircraft Operators,Y,N,Japan Airlines,JAL,,,,,,
,,N,JET AIRWAYS (INDIA) LTD,ZZZZZ,,,,,,
Proponent,N,N,"JET MIDWEST, INC.",ZZZZZ,,,,,,
Proponent,N,N,JET TECH INTERNATIONAL,ZZZZZ,,,,,,
Aircraft Operators,Y,N,Jet2.com,EXS,,,,,,
Aircraft Operators,Y,N,Jetblue,JBU,,,,,,
Aircraft Operators,N,N,Jetstar Airways PTY LTD,JST,,,,,,
